Arquitectura;Escalabilidad;Mantenibilidad;Complejidad;Coste_Inicial
Event-Driven;5;3;7;1
Serverless;1;1;9;3
Monolítica;10;4;8;5
Event-Driven;6;2;1;3
Event-Driven;9;8;8;1
Serverless;1;4;8;5
Monolítica;10;2;3;10
Monolítica;3;6;1;7
Event-Driven;7;6;8;7
Microservicios;7;12;5;12
Event-Driven;9;4;3;10
Event-Driven;3;6;1;10
Event-Driven;5;2;5;3
Event-Driven;3;10;10;7
Serverless;7;2;7;1
Monolítica;5;10;10;4
Serverless;9;4;9;4
Serverless;7;8;7;5
Serverless;2;7;9;7
Event-Driven;4;9;8;7
Microservicios;8;8;3;2
Monolítica;2;5;1;7
Microservicios;9;4;1;11
Serverless;9;5;7;6
Serverless;10;8;8;2
Microservicios;5;10;15;10
Microservicios;9;4;3;1
Microservicios;5;7;7;3
Serverless;7;1;6;6
Serverless;8;9;3;4
